allocator,iters,warmup,files,bytes,nodes,errors,mean_sec,median_sec,min_sec,max_sec,mbps,peak_rss_kb,malloc_cnt,calloc_cnt,realloc_cnt,free_cnt,req_bytes,real_bytes,scan_steps,remove_steps,freelist_len
default,10,2,30,1541808,406803,8,0.208140457,0.178131199,0.172476463,0.313586339,7.41,8112,0,0,0,0,0,0,0,0,0
default,10,2,30,1541808,406803,8,0.177760433,0.176144399,0.172474592,0.188140813,8.67,8136,0,0,0,0,0,0,0,0,0
default,10,2,30,1541808,406803,8,0.180273106,0.174595717,0.170731850,0.216851941,8.55,8036,0,0,0,0,0,0,0,0,0
default,10,2,60,2614208,688365,17,0.295738405,0.294557207,0.291853405,0.306473109,8.84,9044,0,0,0,0,0,0,0,0,0
default,10,2,60,2614208,688365,17,0.295829616,0.296719174,0.287529258,0.304409450,8.84,9224,0,0,0,0,0,0,0,0,0
default,10,2,60,2614208,688365,17,0.296565041,0.295891692,0.289135054,0.312058004,8.81,9176,0,0,0,0,0,0,0,0,0
default,10,2,90,4372607,1104530,29,0.482514199,0.479800741,0.477340523,0.501563804,9.06,14984,0,0,0,0,0,0,0,0,0
default,10,2,90,4372607,1104530,29,0.484566083,0.480866380,0.476137692,0.510989968,9.02,15028,0,0,0,0,0,0,0,0,0
default,10,2,90,4372607,1104530,29,0.481386652,0.479395903,0.476527819,0.497097116,9.08,15020,0,0,0,0,0,0,0,0,0
default,10,2,133,7193968,1883317,44,0.813740481,0.810180245,0.803844252,0.839391318,8.84,18976,0,0,0,0,0,0,0,0,0
default,10,2,133,7193968,1883317,44,0.817406397,0.816136918,0.806454620,0.832053672,8.80,18912,0,0,0,0,0,0,0,0,0
default,10,2,133,7193968,1883317,44,0.810651916,0.812019782,0.806135452,0.814026911,8.87,18908,0,0,0,0,0,0,0,0,0
default,10,2,216,8025655,2119326,49,0.910232714,0.909947569,0.907916106,0.914236561,8.82,19840,0,0,0,0,0,0,0,0,0
default,10,2,216,8025655,2119326,49,0.917907225,0.917545296,0.915718211,0.920968086,8.74,19924,0,0,0,0,0,0,0,0,0
default,10,2,216,8025655,2119326,49,0.919043426,0.918642018,0.915041338,0.922083970,8.73,19824,0,0,0,0,0,0,0,0,0
default,10,2,30,1541808,406803,8,0.172605253,0.171743627,0.169636714,0.177176589,8.93,7948,0,0,0,0,0,0,0,0,0
default,10,2,30,1541808,406803,8,0.171301211,0.171263620,0.168367596,0.175939281,9.00,8100,0,0,0,0,0,0,0,0,0
default,10,2,30,1541808,406803,8,0.172493980,0.172782512,0.169526928,0.175621823,8.94,7932,0,0,0,0,0,0,0,0,0
