allocator,iters,warmup,files,bytes,nodes,errors,mean_sec,median_sec,min_sec,max_sec,mbps,peak_rss_kb,malloc_cnt,calloc_cnt,realloc_cnt,free_cnt,req_bytes,real_bytes,scan_steps,remove_steps,freelist_len
mmap-arena,10,2,30,1541808,406803,8,0.249734709,0.248296949,0.241491059,0.263465664,6.17,9252,3128750,46130,41270,3174890,297338160,331152768,103276476,136842353,2561
mmap-arena,10,2,30,1541808,406803,8,0.254420311,0.253110343,0.247760395,0.263089343,6.06,9212,3128750,46130,41270,3174890,297338160,331152768,103276476,136842353,2561
mmap-arena,10,2,30,1541808,406803,8,0.246062272,0.244430452,0.240629160,0.252835586,6.27,9268,3128750,46130,41270,3174890,297338160,331152768,103276476,136842353,2561
mmap-arena,10,2,60,2614208,688365,17,0.394533264,0.393457797,0.390734518,0.403998692,6.63,11100,5382050,101900,78010,5483960,512640000,571198752,152306385,204545229,2450
mmap-arena,10,2,60,2614208,688365,17,0.405827631,0.405096108,0.400239753,0.414100680,6.44,10144,5382050,101900,78010,5483960,512640000,571198752,152306385,204545229,2450
mmap-arena,10,2,60,2614208,688365,17,0.410769934,0.398013681,0.390474962,0.449067145,6.36,9044,5382050,101900,78010,5483960,512640000,571198752,152306385,204545229,2450
mmap-arena,10,2,90,4372607,1104530,29,0.766553905,0.765987915,0.755368503,0.780645054,5.70,16776,8696700,154530,124260,8851240,827459040,921765712,332252831,437548589,5614
mmap-arena,10,2,90,4372607,1104530,29,0.783911240,0.781515772,0.777321543,0.802571611,5.58,16548,8696700,154530,124260,8851240,827459040,921765712,332252831,437548589,5614
mmap-arena,10,2,90,4372607,1104530,29,0.774339653,0.773196785,0.766912105,0.787402879,5.65,15548,8696700,154530,124260,8851240,827459040,921765712,332252831,437548589,5614
mmap-arena,10,2,133,7193968,1883317,44,1.376727937,1.374679291,1.367256412,1.395289688,5.23,20284,14704430,231040,199930,14935490,1396585360,1555352880,626553903,782990035,5532
mmap-arena,10,2,133,7193968,1883317,44,1.396758364,1.396104773,1.386134611,1.408219383,5.15,19396,14704430,231040,199930,14935490,1396585360,1555352880,626553903,782990035,5532
mmap-arena,10,2,133,7193968,1883317,44,1.380700500,1.378651885,1.369208885,1.413462098,5.21,21132,14704430,231040,199930,14935490,1396585360,1555352880,626553903,782990035,5532
mmap-arena,10,2,216,8025655,2119326,49,1.689303625,1.689962382,1.663632496,1.712832062,4.75,23872,16942430,240350,309510,17182810,1603977520,1793777776,838392856,1011571839,7932
mmap-arena,10,2,216,8025655,2119326,49,1.725840552,1.711829288,1.703722507,1.787132847,4.65,23912,16942430,240350,309510,17182810,1603977520,1793777776,838392856,1011571839,7932
mmap-arena,10,2,216,8025655,2119326,49,1.705724793,1.706302224,1.695594737,1.716825412,4.71,23664,16942430,240350,309510,17182810,1603977520,1793777776,838392856,1011571839,7932
mmap-arena,10,2,30,1541808,406803,8,0.251260561,0.251680837,0.244728622,0.256142586,6.14,8732,3128750,46130,41270,3174890,297338160,331152768,103276476,136842353,2561
mmap-arena,10,2,30,1541808,406803,8,0.248455538,0.246239650,0.244054364,0.256266128,6.21,8656,3128750,46130,41270,3174890,297338160,331152768,103276476,136842353,2561
mmap-arena,10,2,30,1541808,406803,8,0.251475368,0.246976542,0.241498886,0.277951394,6.13,7908,3128750,46130,41270,3174890,297338160,331152768,103276476,136842353,2561
